gene1	gene2	Coexpression Network	Interactome Network
Pbr038923.1	Pbr020294.1	I	IV
Pbr038921.1	Pbr020296.1	III	V
Pbr038916.1	Pbr020302.1	IV	V
Pbr038915.1	Pbr020304.1	IV	V
Pbr038905.1	Pbr020322.1	I	V
Pbr038904.1	Pbr020323.1	III	V
Pbr038898.1	Pbr020331.1	IV	V
Pbr038897.1	Pbr020332.1	II	V
Pbr038896.5	Pbr020333.1	IV	V
Pbr038895.1	Pbr020336.1	IV	V
Pbr038892.1	Pbr020339.1	IV	V
Pbr038891.1	Pbr020340.1	IV	V
Pbr038890.1	Pbr020344.1	III	V
Pbr038887.1	Pbr020346.1	III	IV
Pbr038886.1	Pbr020347.1	III	V
Pbr038883.1	Pbr020353.1	III	V
Pbr038879.1	Pbr020355.2	IV	V
Pbr038878.1	Pbr020357.1	III	IV
Pbr038875.1	Pbr020359.1	III	V
Pbr038871.1	Pbr020363.1	IV	V
Pbr038868.1	Pbr020366.1	IV	I
Pbr007224.1	Pbr030097.1	III	V
Pbr007226.1	Pbr030098.1	III	II
Pbr007230.1	Pbr030105.1	III	IV
Pbr007232.1	Pbr030107.1	III	V
Pbr007233.1	Pbr030108.1	III	V
Pbr007245.1	Pbr030114.1	IV	V
Pbr007251.1	Pbr030117.1	III	V
Pbr007263.1	Pbr030122.1	I	V
Pbr007266.1	Pbr030125.1	IV	V
Pbr007269.1	Pbr030127.1	III	IV
Pbr007272.1	Pbr030129.1	III	IV
Pbr007280.1	Pbr030133.1	III	V
Pbr037113.1	Pbr035149.1	III	V
Pbr037117.1	Pbr035144.1	IV	V
Pbr037119.1	Pbr035142.1	IV	V
Pbr037125.1	Pbr035140.1	IV	V
Pbr037128.1	Pbr035138.1	III	V
Pbr037129.1	Pbr035137.1	III	V
Pbr037134.1	Pbr035133.1	II	V
Pbr037135.1	Pbr035132.1	IV	V
Pbr037149.1	Pbr035113.1	III	V
Pbr037150.1	Pbr035112.1	III	V
Pbr037151.1	Pbr035111.1	IV	V
Pbr037157.1	Pbr035108.1	III	V
Pbr037159.1	Pbr035107.1	IV	V
Pbr010151.1	Pbr038654.1	IV	V
Pbr010159.1	Pbr038650.1	V	IV
Pbr010162.1	Pbr038647.1	IV	V
Pbr010173.1	Pbr038631.3	IV	V
Pbr010176.1	Pbr038629.1	IV	V
Pbr010184.2	Pbr038619.1	III	V
Pbr010186.1	Pbr038617.1	II	V
Pbr033807.1	Pbr035085.1	IV	V
Pbr033809.1	Pbr035080.1	IV	V
Pbr033810.1	Pbr035079.1	III	V
Pbr033814.1	Pbr035071.1	III	V
Pbr033816.1	Pbr035069.1	IV	V
Pbr033818.1	Pbr035067.1	III	IV
Pbr033819.1	Pbr035066.1	IV	V
Pbr033822.1	Pbr035060.1	III	IV
Pbr033823.1	Pbr035057.1	IV	III
Pbr040874.1	Pbr035040.1	III	V
Pbr007077.1	Pbr020247.1	IV	V
Pbr007081.1	Pbr020251.3	IV	V
Pbr007084.1	Pbr020253.1	IV	V
Pbr007085.1	Pbr020255.1	IV	V
Pbr007088.1	Pbr020258.1	IV	V
Pbr007091.1	Pbr020261.1	IV	V
Pbr036105.1	Pbr011494.1	I	IV
Pbr036119.1	Pbr011507.1	III	I
Pbr036120.1	Pbr011508.1	III	IV
Pbr036127.1	Pbr011512.1	IV	V
Pbr036128.1	Pbr011513.1	III	IV
Pbr007290.1	Pbr011421.1	IV	V
Pbr007291.1	Pbr011422.1	III	V
Pbr007293.1	Pbr011426.1	III	IV
Pbr007294.2	Pbr011427.1	III	V
Pbr007298.1	Pbr011434.1	III	V
Pbr007302.1	Pbr011438.4	IV	V
Pbr007304.1	Pbr011440.1	III	V
Pbr001857.2	Pbr024039.1	IV	V
Pbr001864.1	Pbr024041.1	IV	V
Pbr001867.1	Pbr024044.1	II	V
Pbr001868.1	Pbr024045.2	III	V
Pbr001871.1	Pbr024047.1	II	IV
Pbr001873.1	Pbr024050.1	IV	V
Pbr001882.1	Pbr024056.2	IV	III
Pbr037033.1	Pbr038599.1	IV	V
Pbr037036.1	Pbr038598.1	II	V
Pbr037041.1	Pbr038592.1	III	V
Pbr036911.2	Pbr017748.2	IV	V
Pbr036910.1	Pbr017747.1	III	V
Pbr036904.1	Pbr017743.1	III	V
Pbr038706.1	Pbr002244.1	IV	III
Pbr033559.1	Pbr028318.1	IV	V
Pbr007613.1	Pbr021786.1	IV	V
Pbr007626.2	Pbr021801.1	IV	V
Pbr007629.1	Pbr021804.1	III	V
Pbr007630.3	Pbr021805.1	III	V
Pbr007631.1	Pbr021806.1	IV	V
Pbr007626.2	Pbr021816.1	IV	V
Pbr007627.1	Pbr021815.1	III	V
Pbr007629.1	Pbr021813.1	III	V
Pbr026157.1	Pbr015257.1	III	V
Pbr026159.1	Pbr015253.1	IV	V
Pbr026161.1	Pbr015251.1	IV	V
Pbr026163.1	Pbr015248.1	IV	V
Pbr007195.1	Pbr006474.1	IV	V
Pbr007196.1	Pbr006475.1	IV	III
Pbr007197.1	Pbr006477.1	IV	V
Pbr007200.1	Pbr006485.1	IV	V
Pbr007207.1	Pbr006488.1	IV	V
Pbr034390.1	Pbr008881.1	IV	III
Pbr034392.1	Pbr008882.1	III	V
Pbr034393.1	Pbr008885.1	IV	V
Pbr034395.1	Pbr008887.1	IV	V
Pbr038829.1	Pbr016632.1	IV	V
Pbr038822.1	Pbr016651.1	III	V
Pbr007194.1	Pbr006461.1	III	IV
Pbr007195.1	Pbr006460.1	IV	V
Pbr007196.1	Pbr006459.1	IV	V
Pbr007197.1	Pbr006457.1	IV	V
Pbr007200.1	Pbr006450.1	IV	V
Pbr007207.1	Pbr006447.1	IV	V
Pbr007226.1	Pbr006437.1	III	IV
Pbr007229.2	Pbr006418.1	III	V
Pbr007235.1	Pbr006412.4	IV	III
Pbr001904.1	Pbr024438.1	III	V
Pbr042653.1	Pbr024430.1	III	V
Pbr001928.1	Pbr024429.1	IV	V
Pbr001930.1	Pbr024427.1	III	IV
Pbr001932.1	Pbr024426.1	III	V
Pbr001947.1	Pbr024411.1	III	V
Pbr001954.1	Pbr024403.1	IV	V
Pbr007283.1	Pbr019293.1	IV	V
Pbr007294.2	Pbr019278.1	IV	V
Pbr007305.1	Pbr019265.1	IV	III
Pbr038904.1	Pbr032575.1	III	V
Pbr038896.5	Pbr032570.1	IV	V
Pbr007164.1	Pbr022219.1	IV	V
Pbr007167.1	Pbr022202.1	III	V
Pbr007169.1	Pbr022199.1	III	V
Pbr007180.1	Pbr022185.3	III	V
Pbr026710.1	Pbr004869.1	IV	V
Pbr026713.1	Pbr004872.1	IV	V
Pbr033561.2	Pbr006627.2	IV	V
Pbr010129.1	Pbr007457.1	I	V
Pbr010131.1	Pbr007460.1	I	V
Pbr010132.1	Pbr007461.1	IV	V
Pbr016879.1	Pbr010491.1	III	IV
Pbr016881.1	Pbr010489.2	IV	V
Pbr016882.2	Pbr010488.1	IV	II
Pbr010400.1	Pbr015839.1	III	IV
Pbr010404.1	Pbr015842.1	IV	V
Pbr010405.1	Pbr015843.1	III	V
Pbr010409.1	Pbr015847.1	IV	V
Pbr010413.1	Pbr015852.1	IV	V
Pbr010414.1	Pbr015853.1	IV	V
Pbr010392.1	Pbr015847.1	IV	V
Pbr010393.1	Pbr015846.1	III	V
Pbr010396.1	Pbr015843.1	III	V
Pbr010397.1	Pbr015842.1	IV	V
Pbr010400.1	Pbr015839.1	III	IV
Pbr031169.1	Pbr025391.1	IV	V
Pbr031174.1	Pbr025387.1	IV	V
Pbr031177.1	Pbr025385.2	III	IV
Pbr031178.1	Pbr025384.1	IV	V
Pbr031181.1	Pbr025381.1	IV	V
Pbr026159.1	Pbr032032.1	IV	V
Pbr026160.1	Pbr032033.1	IV	V
Pbr026161.1	Pbr032034.1	IV	V
Pbr031181.1	Pbr032113.1	III	IV
Pbr007628.1	Pbr035343.1	III	V
Pbr007631.1	Pbr035340.1	IV	V
Pbr001884.1	Pbr039860.1	III	V
Pbr001886.1	Pbr039862.1	IV	V
Pbr001888.1	Pbr039864.1	I	IV
Pbr001890.1	Pbr039865.1	I	V
Pbr036920.3	Pbr041003.2	IV	V
Pbr036919.1	Pbr041004.1	III	V
Pbr036917.1	Pbr041006.1	IV	III
Pbr036915.1	Pbr041007.1	III	V
Pbr036913.1	Pbr041010.1	III	V
Pbr036911.2	Pbr041013.2	IV	V
Pbr036910.1	Pbr041014.1	III	IV
Pbr036909.3	Pbr041015.1	IV	V
Pbr036908.1	Pbr041016.1	III	V
Pbr005931.1	Pbr020145.1	IV	V
Pbr005933.1	Pbr020143.1	III	IV
Pbr005934.1	Pbr020142.1	III	V
Pbr005935.1	Pbr020141.1	IV	I
Pbr005937.1	Pbr020139.1	IV	V
Pbr005946.1	Pbr020131.2	I	V
Pbr005947.1	Pbr020130.1	IV	II
Pbr005950.1	Pbr020127.1	III	V
Pbr005951.1	Pbr020126.1	III	V
Pbr005952.2	Pbr020125.1	III	V
Pbr005953.1	Pbr020124.1	IV	V
Pbr005954.1	Pbr020123.1	IV	V
Pbr005955.1	Pbr020122.1	IV	V
Pbr005957.1	Pbr020120.1	III	V
Pbr005958.2	Pbr020119.2	IV	V
Pbr005962.1	Pbr020115.1	IV	V
Pbr005963.2	Pbr020114.1	IV	V
Pbr002667.1	Pbr009311.1	III	IV
Pbr002672.1	Pbr009308.1	I	V
Pbr002675.1	Pbr009305.1	I	V
Pbr002676.1	Pbr009304.1	III	IV
Pbr002677.1	Pbr009303.1	I	V
Pbr002678.1	Pbr009302.1	III	V
Pbr002679.1	Pbr009301.1	IV	III
Pbr002684.1	Pbr009295.1	I	V
Pbr002685.1	Pbr009294.1	IV	V
Pbr002691.1	Pbr009288.1	I	V
Pbr002692.1	Pbr009287.1	IV	V
Pbr029415.2	Pbr022127.1	III	IV
Pbr029418.1	Pbr022131.1	I	IV
Pbr029420.1	Pbr022133.1	II	V
Pbr029421.1	Pbr042773.1	III	V
Pbr029426.1	Pbr022140.1	III	V
Pbr029428.1	Pbr022142.1	I	V
Pbr029430.1	Pbr022144.1	III	V
Pbr029432.1	Pbr022145.1	IV	V
Pbr008760.1	Pbr015553.1	III	V
Pbr008762.1	Pbr015543.1	IV	III
Pbr008766.1	Pbr015532.1	IV	III
Pbr008769.1	Pbr015522.1	IV	III
Pbr008778.1	Pbr015509.1	IV	V
Pbr008792.2	Pbr015505.1	IV	V
Pbr008806.1	Pbr015487.1	IV	V
Pbr008813.1	Pbr015479.1	IV	V
Pbr024311.1	Pbr024284.1	IV	V
Pbr002622.1	Pbr027818.1	III	IV
Pbr002623.1	Pbr027819.1	I	V
Pbr002625.1	Pbr027821.1	IV	V
Pbr002626.1	Pbr027822.1	III	V
Pbr009248.1	Pbr029480.1	I	IV
Pbr009245.1	Pbr029483.2	III	V
Pbr009238.1	Pbr029493.2	III	V
Pbr019856.1	Pbr015630.1	III	V
Pbr042754.1	Pbr015621.1	IV	V
Pbr019846.1	Pbr015609.1	III	V
Pbr019828.1	Pbr015588.2	III	V
Pbr019824.1	Pbr015580.1	III	IV
Pbr019809.1	Pbr015561.1	IV	V
Pbr019807.1	Pbr015556.1	III	V
Pbr005930.1	Pbr014347.1	IV	V
Pbr005947.1	Pbr014320.1	IV	III
Pbr005952.2	Pbr014315.2	IV	V
Pbr020139.1	Pbr014338.1	IV	V
Pbr020130.1	Pbr014320.1	III	IV
Pbr020128.2	Pbr014319.1	III	V
Pbr005842.1	Pbr022113.1	III	IV
Pbr005848.1	Pbr022119.1	IV	V
Pbr005852.1	Pbr022122.1	III	V
Pbr005856.1	Pbr022123.2	IV	V
Pbr005877.2	Pbr022131.1	IV	V
Pbr005880.1	Pbr022138.1	IV	V
Pbr005885.1	Pbr022145.1	IV	V
Pbr019907.1	Pbr031680.1	III	V
Pbr019898.1	Pbr031689.1	IV	V
Pbr019888.1	Pbr031704.1	III	V
Pbr019882.1	Pbr031705.1	III	V
Pbr041992.1	Pbr015451.1	IV	V
Pbr019625.1	Pbr019597.1	II	V
Pbr019622.1	Pbr008716.1	II	V
Pbr019614.1	Pbr008723.1	II	IV
Pbr019612.1	Pbr008725.1	IV	V
Pbr021169.1	Pbr021202.1	I	V
Pbr021170.1	Pbr021201.1	II	V
Pbr021176.1	Pbr021195.1	I	V
Pbr021185.1	Pbr021188.1	I	V
Pbr003196.1	Pbr030816.1	III	V
Pbr003197.1	Pbr030819.1	III	V
Pbr003199.1	Pbr030823.1	IV	I
Pbr031819.1	Pbr028893.1	III	IV
Pbr031820.1	Pbr028894.2	I	V
Pbr031821.1	Pbr028895.1	IV	V
Pbr031823.1	Pbr028898.1	IV	V
Pbr019709.1	Pbr015327.1	IV	V
Pbr019700.1	Pbr015319.1	IV	III
Pbr019691.1	Pbr015312.1	IV	V
Pbr019687.1	Pbr015309.1	III	V
Pbr019682.3	Pbr015303.1	III	V
Pbr019669.1	Pbr015293.1	IV	V
Pbr019657.1	Pbr035441.1	IV	V
Pbr019647.1	Pbr035434.1	IV	V
Pbr019625.1	Pbr019597.1	II	V
Pbr019624.1	Pbr019598.1	II	V
Pbr019619.1	Pbr019603.1	IV	V
Pbr019615.1	Pbr019606.1	I	V
Pbr019614.1	Pbr019607.1	I	V
Pbr019612.1	Pbr019609.1	III	V
Pbr019611.1	Pbr019610.1	I	V
Pbr031245.1	Pbr000790.1	I	V
Pbr031241.1	Pbr000797.3	III	V
Pbr031238.1	Pbr000800.1	III	IV
Pbr031236.1	Pbr000802.1	IV	V
Pbr027834.1	Pbr010630.1	III	IV
Pbr027836.1	Pbr010633.1	IV	V
Pbr027839.1	Pbr010634.1	III	V
Pbr027840.1	Pbr010636.1	IV	V
Pbr024292.3	Pbr024271.1	I	V
Pbr024284.1	Pbr024281.1	I	V
Pbr024283.1	Pbr024282.1	I	V
Pbr035433.2	Pbr040199.1	III	IV
Pbr035438.1	Pbr040194.1	IV	V
Pbr035441.1	Pbr040192.1	III	V
Pbr032084.1	Pbr032099.1	I	V
Pbr032089.1	Pbr032094.1	I	V
Pbr009211.1	Pbr008801.1	I	V
Pbr027870.1	Pbr034355.1	III	V
Pbr027887.1	Pbr034329.3	IV	V
Pbr027888.1	Pbr034323.1	IV	V
Pbr024304.1	Pbr024289.1	IV	V
Pbr024298.1	Pbr024292.3	II	V
Pbr005763.1	Pbr027696.1	III	V
Pbr005786.1	Pbr027683.1	IV	V
Pbr010094.1	Pbr010103.1	III	V
Pbr042001.1	Pbr016938.1	IV	V
Pbr042006.1	Pbr016940.1	III	V
Pbr042009.2	Pbr016943.1	II	IV
Pbr020019.1	Pbr034281.1	IV	V
Pbr020017.1	Pbr034277.2	IV	V
Pbr020013.1	Pbr034267.1	III	V
Pbr019999.1	Pbr034251.1	IV	V
Pbr019991.1	Pbr034238.1	IV	III
Pbr033194.1	Pbr033205.1	III	V
Pbr019606.1	Pbr008722.1	III	V
Pbr019600.1	Pbr008716.1	III	V
Pbr019599.1	Pbr008715.1	III	IV
Pbr009234.1	Pbr016962.1	IV	V
Pbr009223.1	Pbr016974.1	IV	V
Pbr011895.1	Pbr011805.1	IV	III
Pbr011903.3	Pbr011800.1	IV	V
Pbr011904.1	Pbr011798.1	IV	V
Pbr019776.1	Pbr017982.1	IV	V
Pbr019775.1	Pbr017983.1	III	V
Pbr019771.2	Pbr017988.1	III	IV
Pbr019770.1	Pbr017989.1	IV	V
Pbr019766.1	Pbr017991.1	III	IV
Pbr019763.1	Pbr017993.1	III	V
Pbr019758.1	Pbr017999.2	III	IV
Pbr019756.1	Pbr018001.1	IV	V
Pbr019752.1	Pbr018005.1	III	V
Pbr008755.1	Pbr040218.1	III	IV
Pbr008758.1	Pbr040221.1	III	V
Pbr027842.1	Pbr005658.2	III	V
Pbr027846.2	Pbr005664.1	IV	V
Pbr031233.1	Pbr022470.1	III	V
Pbr031227.1	Pbr022472.1	IV	V
Pbr031224.1	Pbr022476.1	IV	V
Pbr031217.1	Pbr022485.1	III	IV
Pbr031215.1	Pbr022491.1	IV	V
Pbr031212.1	Pbr022494.1	IV	V
Pbr031206.1	Pbr022498.1	III	II
Pbr031204.1	Pbr022501.1	IV	III
Pbr031195.1	Pbr022509.1	IV	V
Pbr031194.3	Pbr022510.1	III	V
Pbr033322.1	Pbr034491.1	IV	V
Pbr033326.1	Pbr034495.1	IV	I
Pbr033347.1	Pbr011251.1	IV	V
Pbr033350.1	Pbr011254.1	III	V
Pbr033353.1	Pbr011256.1	IV	V
Pbr033354.1	Pbr011257.1	III	IV
Pbr010662.1	Pbr005668.1	I	IV
Pbr010648.1	Pbr005663.1	IV	V
Pbr010644.1	Pbr005658.2	IV	V
Pbr010636.1	Pbr005654.1	III	V
Pbr034198.1	Pbr007393.1	III	I
Pbr034199.1	Pbr007392.1	IV	V
Pbr034201.1	Pbr007391.1	IV	V
Pbr034202.2	Pbr007390.2	IV	V
Pbr034205.1	Pbr007386.1	IV	V
Pbr034212.1	Pbr007381.1	IV	V
Pbr034218.1	Pbr007376.1	II	V
Pbr034220.1	Pbr007375.1	III	V
Pbr034222.1	Pbr007373.1	III	V
Pbr034229.1	Pbr007368.1	III	V
Pbr034230.1	Pbr007367.1	IV	III
Pbr034231.1	Pbr007366.1	IV	V
Pbr034233.1	Pbr007365.1	III	IV
Pbr034234.1	Pbr007364.1	III	V
Pbr034235.1	Pbr007362.1	IV	I
Pbr034238.1	Pbr007359.1	IV	III
Pbr034239.4	Pbr007357.2	III	V
Pbr034240.1	Pbr007356.1	III	V
Pbr034241.1	Pbr007355.1	I	IV
Pbr034242.2	Pbr007354.1	III	IV
Pbr034246.1	Pbr007352.1	III	V
Pbr034261.1	Pbr007345.1	III	V
Pbr034266.1	Pbr007341.2	III	V
Pbr034267.1	Pbr007340.1	III	V
Pbr034269.2	Pbr007339.1	III	V
Pbr034270.1	Pbr007338.1	I	IV
Pbr034271.1	Pbr007337.1	III	V
Pbr034273.1	Pbr007335.1	I	IV
Pbr034274.1	Pbr007334.1	III	V
Pbr034281.1	Pbr007327.1	III	IV
Pbr034282.1	Pbr007326.1	IV	V
Pbr034284.1	Pbr007324.1	IV	V
Pbr034285.1	Pbr007321.1	IV	V
Pbr034286.1	Pbr007320.2	IV	V
Pbr034290.1	Pbr007318.1	III	V
Pbr034296.1	Pbr033862.1	III	V
Pbr034311.1	Pbr033866.1	III	V
Pbr034313.1	Pbr033867.1	IV	V
Pbr034323.1	Pbr003057.1	IV	V
Pbr034327.1	Pbr003059.1	III	V
Pbr034328.1	Pbr003060.1	IV	V
Pbr034329.3	Pbr003062.1	III	V
Pbr034330.1	Pbr003064.1	IV	V
Pbr034333.1	Pbr003068.1	III	V
Pbr034336.1	Pbr003073.1	III	V
Pbr034337.1	Pbr003074.1	IV	V
Pbr034338.1	Pbr003075.4	IV	V
Pbr034343.1	Pbr003079.1	IV	V
Pbr034345.1	Pbr003083.1	III	V
Pbr034347.1	Pbr003091.1	IV	V
Pbr034350.1	Pbr003093.4	III	V
Pbr034353.1	Pbr003096.1	III	IV
Pbr034354.1	Pbr003097.1	IV	V
Pbr034355.1	Pbr003099.1	IV	V
Pbr034358.1	Pbr003102.1	III	V
Pbr034359.1	Pbr003103.1	III	IV
Pbr034360.1	Pbr003104.1	IV	V
Pbr016995.1	Pbr014066.1	III	V
Pbr016993.1	Pbr014068.1	IV	III
Pbr016991.2	Pbr014069.1	IV	V
Pbr016988.1	Pbr014071.1	II	V
Pbr016981.1	Pbr014081.2	IV	V
Pbr016975.1	Pbr014083.2	IV	III
Pbr016969.1	Pbr014087.6	IV	I
Pbr016965.1	Pbr014089.1	IV	V
Pbr016964.1	Pbr014090.1	IV	V
Pbr016960.1	Pbr014094.1	III	V
Pbr016959.1	Pbr014095.1	III	V
Pbr016948.1	Pbr014107.1	III	V
Pbr016947.1	Pbr014108.1	IV	V
Pbr016940.1	Pbr027598.1	III	V
Pbr010668.1	Pbr003140.1	III	IV
Pbr010666.1	Pbr003142.1	III	IV
Pbr010663.1	Pbr003145.1	IV	V
Pbr010662.1	Pbr003146.1	I	IV
Pbr010656.1	Pbr003153.2	III	IV
Pbr010654.1	Pbr003155.1	II	V
Pbr010651.1	Pbr003157.1	I	IV
Pbr010649.1	Pbr003159.1	IV	V
Pbr010648.1	Pbr003160.1	IV	V
Pbr010647.1	Pbr003161.1	IV	III
Pbr010644.1	Pbr003164.1	IV	V
Pbr010643.1	Pbr003165.1	III	V
Pbr010641.1	Pbr003167.1	IV	V
Pbr010634.1	Pbr003169.1	IV	V
Pbr010633.1	Pbr003170.1	III	V
Pbr010630.1	Pbr003174.1	IV	III
Pbr010628.1	Pbr003178.1	III	V
Pbr010622.1	Pbr003181.1	IV	V
Pbr037440.1	Pbr027762.1	III	IV
Pbr037438.1	Pbr027760.1	IV	III
Pbr037433.1	Pbr027756.1	III	IV
Pbr037427.1	Pbr027749.1	III	V
Pbr037422.1	Pbr027738.1	IV	V
Pbr037419.1	Pbr027731.1	IV	V
Pbr037418.1	Pbr027730.1	III	V
Pbr037417.1	Pbr027729.1	IV	V
Pbr037414.1	Pbr027726.1	I	V
Pbr037384.1	Pbr035989.1	IV	V
Pbr014339.1	Pbr032048.1	IV	V
Pbr014332.1	Pbr032053.1	III	V
Pbr014320.1	Pbr032061.1	IV	V
Pbr014318.1	Pbr032063.1	IV	V
Pbr014316.2	Pbr032065.1	III	V
Pbr014315.2	Pbr032066.1	III	V
Pbr014311.1	Pbr032070.1	IV	V
Pbr031688.1	Pbr041519.1	IV	III
Pbr031689.1	Pbr041518.2	III	V
Pbr031693.1	Pbr041515.1	IV	V
Pbr031698.1	Pbr041512.1	I	V
Pbr031700.1	Pbr041510.2	III	V
Pbr031701.1	Pbr041509.1	III	IV
Pbr031704.1	Pbr041506.1	IV	V
Pbr031708.1	Pbr041502.1	IV	V
Pbr031711.1	Pbr041500.3	IV	V
Pbr031712.1	Pbr042921.1	III	V
Pbr015632.1	Pbr041475.1	III	V
Pbr015626.1	Pbr041472.1	III	V
Pbr015622.1	Pbr041468.1	IV	V
Pbr015614.1	Pbr041462.2	IV	V
Pbr015609.1	Pbr041461.1	IV	II
Pbr015604.3	Pbr041458.1	IV	III
Pbr015597.1	Pbr041451.3	III	V
Pbr015596.1	Pbr041444.1	III	V
Pbr015595.1	Pbr041443.1	III	II
Pbr015594.1	Pbr041442.1	IV	V
Pbr030424.1	Pbr025142.1	IV	V
Pbr030408.1	Pbr025127.1	III	V
Pbr030403.1	Pbr025116.2	IV	V
Pbr030401.1	Pbr025114.1	IV	V
Pbr019732.1	Pbr035190.1	III	IV
Pbr019731.1	Pbr035191.1	IV	V
Pbr019712.2	Pbr025216.1	III	V
Pbr019709.1	Pbr025213.1	IV	V
Pbr019702.1	Pbr025209.1	IV	V
Pbr019691.1	Pbr025201.1	IV	V
Pbr019687.1	Pbr025199.1	III	V
Pbr019683.1	Pbr025193.1	IV	V
Pbr019675.1	Pbr025184.1	III	IV
Pbr019673.1	Pbr025178.1	IV	V
Pbr019661.2	Pbr025166.1	III	V
Pbr019659.1	Pbr025162.1	III	IV
Pbr019651.1	Pbr025158.1	IV	V
Pbr019646.1	Pbr025146.1	IV	V
Pbr007861.1	Pbr025118.1	IV	V
Pbr007864.1	Pbr025116.2	IV	V
Pbr007865.3	Pbr025115.2	III	V
Pbr007866.1	Pbr025114.1	II	III
Pbr007867.1	Pbr025113.1	III	V
Pbr007874.1	Pbr025103.1	III	V
Pbr007875.1	Pbr025102.1	III	IV
Pbr007878.1	Pbr025100.1	III	IV
Pbr007879.1	Pbr025099.1	III	II
Pbr007881.1	Pbr025097.1	III	IV
Pbr007887.1	Pbr025091.1	III	IV
Pbr019907.1	Pbr041526.1	III	V
Pbr019895.1	Pbr041515.1	III	V
Pbr019888.1	Pbr041506.1	IV	III
Pbr019878.1	Pbr041497.1	III	V
Pbr019875.1	Pbr041495.1	IV	V
Pbr019869.1	Pbr041482.1	IV	V
Pbr019856.1	Pbr041474.1	III	V
Pbr042754.1	Pbr041469.2	IV	V
Pbr019846.1	Pbr041461.1	IV	V
Pbr004429.1	Pbr041490.1	IV	V
Pbr004430.1	Pbr041489.1	IV	V
Pbr004437.2	Pbr041483.1	III	V
Pbr004438.1	Pbr041482.1	IV	V
Pbr004441.1	Pbr041479.1	III	IV
Pbr017240.1	Pbr022858.1	I	IV
Pbr017248.1	Pbr022865.1	IV	V
Pbr017250.1	Pbr022867.1	IV	V
Pbr017253.1	Pbr022870.1	IV	III
Pbr034294.1	Pbr007315.1	IV	III
Pbr034297.1	Pbr007311.1	III	V
Pbr034316.1	Pbr033825.1	III	V
Pbr017013.1	Pbr001833.1	III	V
Pbr017011.1	Pbr001835.1	IV	V
Pbr024277.1	Pbr018835.1	IV	V
Pbr024271.1	Pbr018830.1	IV	V
Pbr024264.1	Pbr018825.1	IV	V
Pbr033759.1	Pbr001074.1	IV	V
Pbr005930.1	Pbr032042.1	IV	V
Pbr005937.1	Pbr032048.1	III	V
Pbr005947.1	Pbr032061.1	III	V
Pbr005967.1	Pbr032071.1	III	V
Pbr035443.1	Pbr025162.1	III	V
Pbr040194.1	Pbr025155.1	IV	V
Pbr040199.1	Pbr025147.2	III	IV
Pbr040200.1	Pbr025145.1	IV	V
Pbr032074.1	Pbr003098.1	IV	V
Pbr032099.1	Pbr003112.1	III	IV
Pbr015471.1	Pbr027577.1	II	V
Pbr015464.1	Pbr027568.1	III	IV
Pbr034281.1	Pbr033847.1	III	V
Pbr034285.1	Pbr033853.1	IV	V
Pbr034287.1	Pbr033855.1	III	V
Pbr034290.1	Pbr033856.1	IV	V
Pbr025424.1	Pbr001827.1	IV	V
Pbr025427.1	Pbr001831.1	IV	V
Pbr025428.1	Pbr001833.1	III	V
Pbr037394.1	Pbr011684.1	III	V
Pbr037393.1	Pbr011685.1	III	V
Pbr037389.1	Pbr011690.1	III	IV
Pbr037382.1	Pbr011697.1	III	V
Pbr037381.1	Pbr011698.1	IV	V
Pbr037378.1	Pbr011702.1	IV	V
Pbr037377.1	Pbr011706.1	IV	V
Pbr037373.1	Pbr011710.2	III	V
Pbr037372.1	Pbr011711.1	IV	V
Pbr037369.1	Pbr011724.1	IV	V
Pbr037366.1	Pbr011726.1	III	II
Pbr037365.1	Pbr011727.1	IV	V
Pbr037364.1	Pbr011728.1	III	IV
Pbr037359.2	Pbr011734.1	III	V
Pbr037357.1	Pbr011736.1	III	V
Pbr037350.1	Pbr011738.2	III	V
Pbr037349.1	Pbr011741.1	IV	V
Pbr037346.1	Pbr011747.1	IV	V
Pbr037344.1	Pbr011749.1	IV	V
Pbr037342.1	Pbr011751.1	IV	V
Pbr037341.1	Pbr011753.1	IV	III
Pbr037330.1	Pbr011756.1	III	V
Pbr037328.1	Pbr011758.1	III	IV
Pbr037325.1	Pbr011761.1	III	IV
Pbr037324.1	Pbr011762.1	IV	III
Pbr037323.1	Pbr011763.1	IV	V
Pbr037317.1	Pbr011768.1	IV	V
Pbr035432.1	Pbr025145.1	IV	V
Pbr035433.2	Pbr025147.2	III	IV
Pbr035444.1	Pbr025164.1	IV	V
Pbr015291.2	Pbr025174.1	III	IV
Pbr015292.1	Pbr025175.2	IV	V
Pbr015293.1	Pbr025176.1	III	V
Pbr015294.2	Pbr025178.1	III	V
Pbr015295.1	Pbr025181.1	I	II
Pbr015297.1	Pbr025184.1	III	V
Pbr015300.1	Pbr025189.1	IV	V
Pbr015302.3	Pbr025191.1	III	IV
Pbr015305.1	Pbr025193.1	III	V
Pbr015307.1	Pbr025196.1	II	IV
Pbr015312.1	Pbr025202.1	IV	V
Pbr015317.1	Pbr025207.1	III	V
Pbr019362.1	Pbr022844.1	IV	V
Pbr019363.1	Pbr022843.1	IV	V
Pbr019368.1	Pbr022840.1	III	I
Pbr019371.1	Pbr022838.1	IV	V
